ra,dec
168.48416666666665,-20.566444444444446
172.5016666666667,-14.506722222222225
167.6040833333333,-19.19788888888889
169.50374999999997,-19.028055555555557
164.589375,-23.953972222222223
166.73429166666665,-17.819305555555555
167.7423333333333,-16.287361111111114
168.35641666666663,-23.49955555555556
169.61974999999998,-16.137777777777778
171.50962499999997,-15.990583333333332
170.61195833333332,-14.629861111111111
167.46333333333334,-22.12922222222222
166.58558333333332,-20.75263888888889
166.41479166666664,-26.772
167.3613333333333,-25.112472222222223
171.59616666666665,-13.146472222222222
170.40012499999995,-20.38297222222222
166.460625,-23.726555555555557
171.66799999999998,-10.308722222222222
165.7214583333333,-19.36638888888889
168.61825,-17.663
169.376375,-21.926861111111112
170.51058333333333,-17.49961111111111
164.56133333333332,-27.03677777777778
163.632625,-25.60438888888889
168.737125,-14.766833333333334
172.5722083333333,-11.681277777777778
165.48691666666664,-25.363000000000003
169.72166666666664,-13.259944444444445
170.69904166666666,-11.775555555555556
165.57687499999997,-22.336388888888887
